Model,Accuracy,ROC-AUC,Precision,Recall,F1 Skoru
YSA (MLP),0.8682352941176471,0.8668795762579842,0.8504672897196262,0.6946564885496184,0.7647058823529411
Random Forest,0.8635294117647059,0.8642311886586695,0.8288288288288288,0.7022900763358778,0.7603305785123967
KNN,0.8423529411764706,0.8641013657371346,0.8076923076923077,0.6412213740458015,0.7148936170212766
Extra Trees,0.8352941176470589,0.8722542452095343,0.7401574803149606,0.7175572519083969,0.7286821705426356
SVM,0.8164705882352942,0.8623617385885652,0.6853146853146853,0.7480916030534351,0.7153284671532847
Naive Bayes,0.7741176470588236,0.8317105468141455,0.6206896551724138,0.6870229007633588,0.6521739130434783
Karar Agaci,0.7717647058823529,0.8124707898426546,0.6036585365853658,0.7557251908396947,0.6711864406779661
