Model,Accuracy Default,Accuracy Optimized,Precision Default,Precision Optimized,Recall Default,Recall Optimized
KNN,0.8423529411764706,0.6870588235294117,0.8076923076923077,0.4956896551724138,0.6412213740458015,0.8778625954198473
Random Forest,0.8635294117647059,0.6258823529411764,0.8288288288288288,0.44814814814814813,0.7022900763358778,0.9236641221374046
Extra Trees,0.8352941176470589,0.7035294117647058,0.7401574803149606,0.5108225108225108,0.7175572519083969,0.9007633587786259
SVM,0.8164705882352942,0.7741176470588236,0.6853146853146853,0.6011560693641619,0.7480916030534351,0.7938931297709924
Naive Bayes,0.7741176470588236,0.6964705882352941,0.6206896551724138,0.5044642857142857,0.6870229007633588,0.8625954198473282
Karar Agaci,0.7717647058823529,0.6611764705882353,0.6036585365853658,0.4723404255319149,0.7557251908396947,0.8473282442748091
YSA (MLP),0.8682352941176471,0.6282352941176471,0.8504672897196262,0.45018450184501846,0.6946564885496184,0.9312977099236641
